FIPS.STATE	STUB.GEO	P0010001	P0040001	P0050001	P0060001	P0060002	P0060003	P0060004	P0070001	P0070002	P0130001	P0130002	P0130003	P0130004	P0130005	P0130006	P0130007	P0130008	P0130009	P0130010	P0130011	P0130012	P0130013	P0130014	P0130015	P0130016	P0130017	P0130018	P0130019	P0130020	P0130021	P0130022	P0130023	P0130024	P0130025	P0130026	P0130027	P0130028	P0130029	P0130030	P0130031	P0160001	P0160002	P0160003	P0160004	P0160005	P0160006	P0160007	P0800001	P0800002	P0800003	P0800004	P0800005	P0800006	P0800007	P0800008	P0800009	P0800010	P0800011	P0800012	P0800013	P0800014	P0800015	P0800016	P0800017	P0800018	P0800019	P0800020	P0800021	P0800022	P0800023	P0800024	P0800025	P080A001	P0810001	P0810002	P0890001	P0890002	P0900001	P0900002	P1120001	P1120002	P1120003	P1120004	H0010001	H0040001	H0040002	H0050001	H0050002	H0050003	H0050004	H0080001	H0080002	H0230001	H0230002	H0230003	H0230004	H0300001	H0300002	H0300003	H0300004	H0300005	H0300006	H0300007	H0300008	H0300009
42	Pennsylvania	11881643	3176451	4492958	7209935	981131	117119	3573458	5693222	6188421	137933	335814	322726	156000	155038	472874	312572	300444	145266	150160	150671	157444	170143	189540	185454	176662	489970	917004	1001164	917717	821495	661520	563347	552732	235992	372250	592601	483663	361594	223814	168039	1142393	1438051	788273	679256	301988	94753	48244	244825	452700	221502	193801	215433	196882	220556	186047	206417	172621	207578	158078	176887	140281	162316	120365	126527	101820	192430	148154	292049	193936	71686	29870	60197	29069	148164512411	16653321276	3431497	1061461	3321419	1171539	479468	903911	1352109	440963	4938140	4495966	442174	2987884	419108	35912	1495236	3176693	1319273	3854953	905420	72800	104967	2226793	76697	664952	1252685	132277	116613	1158	17112	7679
44	Rhode_Island	1003464	260833	377080	824524	38903	1124	138913	481350	522114	11617	29146	26278	13132	13438	37416	24508	23488	11432	11384	11803	12363	15813	19094	18297	17747	47552	84525	89698	78369	68237	54406	43565	42399	18357	28400	47375	39062	29916	18731	15916	97919	117305	67107	58583	24689	7795	3682	15653	39408	16310	14211	15717	14025	16472	13543	15635	13051	16639	13023	14913	12673	14214	11129	12053	9138	18715	14307	29856	21003	7032	3154	5206	32181	13467980449	1303877221	294358	82722	286743	90337	34749	63932	119078	43074	414572	377977	36595	338850	14479	399	60844	224829	153148	367984	37434	8402	752	153766	8911	29833	177536	927	5408	171	887	538
45	South_Carolina	3486703	935575	1258783	1425272	480468	48565	1532398	1686116	1800587	43627	109761	101776	51312	49892	154783	105222	101571	48488	50888	51608	53120	57465	64064	60020	58033	157483	295677	300857	277098	249005	197580	160167	146145	56902	88030	141286	106811	73604	44971	29457	278866	397406	241745	203634	87567	30374	19191	103342	129447	65925	57054	66733	58056	65380	52786	61025	50023	58415	44582	49365	37958	42928	30620	33705	25157	50058	35470	70208	41822	13546	5452	9726	26256	38029153985	2521253947	1023687	235096	993844	264939	109918	261517	439629	124511	1424155	1258044	166111	584290	215892	17086	606887	878824	379220	1099695	273941	44767	5752	309510	116262	590013	165537	1015	71137	338	1868	2364
46	South_Dakota	696004	182205	260059	163965	183803	76170	272066	342390	353614	9707	22243	22828	11867	11784	35436	23411	21111	10408	10177	10266	9707	9530	10765	9561	9420	27283	53047	56972	53937	42207	33414	28654	28919	12091	18729	30169	24765	19884	14301	13411	68038	85631	38270	37620	19998	6890	3612	19789	31561	16881	15127	16501	14519	15634	12924	13595	11140	12361	9615	9217	7461	7643	5678	5662	4536	7533	4773	8903	4687	1834	740	1745	22503	6853066759	446230473	212682	47377	192967	67092	19087	46948	94742	21428	292436	259034	33402	67229	75651	26351	123205	171148	87886	238038	42806	6086	5506	111445	51664	46177	35304	488	10764	115	2038	1039
47	Tennessee	4877185	1356342	1853515	2216943	751800	111680	1796762	2347557	2529628	58156	140285	134001	67353	67210	203288	138505	136496	64565	67601	68486	69710	76074	83802	77707	73882	210998	400764	416694	384789	354128	287335	243248	219464	84647	129626	200327	159206	122576	78514	57748	439196	609161	359590	285731	109494	33042	17301	163648	207221	104740	89526	101753	88474	97894	79647	88525	70372	84031	61093	67147	52969	57308	42799	46215	34541	67313	49414	94201	56341	20626	8143	19574	24807	53804155434	5255622246	1475412	378103	1418057	435458	176051	389914	630059	160318	2026067	1853725	172342	936504	317766	43085	728712	1261048	592677	1736138	215752	29191	44986	556158	101205	936236	69965	17454	167244	402	2666	2395
48	Texas	16986510	4384921	6079341	11374274	2262974	192392	3156870	8363296	8623214	240011	578283	562394	282754	279443	839239	539036	509626	248930	250527	251021	254088	262467	280587	270155	256400	770944	1537956	1580739	1373288	1175660	916392	733348	656447	255624	372893	569917	431176	330636	214494	162035	1440639	1821962	1052101	960197	478766	188405	137271	496730	581538	325235	271934	308097	271846	309363	251143	277561	218900	269304	192253	219944	167410	200212	142880	153934	121920	245408	184542	381136	262522	98659	41695	85175	27016	192905387618	23629096825	5081694	997647	4870584	1208757	479987	1349091	2036179	519664	7008999	6070937	938062	4629388	913814	75087	1390710	3695184	2375753	6417136	511056	55660	25147	3060161	473529	2438294	8717	198	70382	1175	5622	12859
49	Utah	1722850	413257	537196	1319831	179544	11685	211790	855353	867497	30248	71359	67892	35089	35759	113476	77136	72740	33103	32009	30100	29017	29964	31167	27826	27745	80899	137714	138139	124438	100277	77741	61915	55070	20844	31491	48348	40213	29254	18345	13532	100855	152571	83368	80595	54064	34629	31114	23914	43891	26303	23423	26600	24867	28717	24480	28341	22919	27954	21441	23144	19247	21569	15576	15496	12584	24510	17458	32322	18939	6154	2571	4776	29470	17577582475	1262368354	455142	82054	441038	96158	41154	110461	199459	62183	598388	537273	61115	439605	66756	3471	88556	366010	171263	573222	17106	1416	6644	440040	12279	51047	7048	7202	17349	525	1326	457
50	Vermont	562758	145721	210633	86873	94031	11810	370044	275446	287312	7278	17159	16800	8407	8350	25553	15818	14668	6985	7196	7476	7890	8884	10284	9786	9638	23341	45379	50501	49545	43259	32181	25093	22642	9283	13193	20702	16580	12741	8855	7291	49165	71173	37060	34330	13769	3725	1411	6984	21152	10332	8739	10274	9103	11145	8964	10568	8787	10308	7777	9140	7065	8576	5737	6590	4956	9695	6807	13621	8342	2936	1117	1918	29792	7018494234	457573013	175114	35519	166083	44550	14894	36248	75553	19026	271214	210650	60564	34843	41465	3881	191025	145368	65282	137953	83366	16415	33480	16883	22014	19232	114348	1519	35774	123	374	383
51	Virginia	6187358	1642735	2294722	3829615	463992	80560	1813191	3032772	3154586	79838	187216	173885	87547	82927	254522	164578	158549	76315	78799	78061	82090	91202	105363	106768	102810	302074	574731	573355	516925	475005	376548	294293	256697	98311	146345	230365	173017	123753	77084	58385	520868	751230	444986	360594	145663	47348	24033	124579	163929	92112	81599	95097	88185	102926	87914	100782	83290	101328	77333	88862	71642	84916	64182	68329	55411	111633	89028	191693	150094	61091	23142	35625	33328	86309911056	9294914974	1933853	360869	1879927	414795	166769	435330	815658	224978	2496334	2291830	204504	1537572	188464	30816	739482	1519644	772186	1900436	444953	94284	56661	662150	58853	919790	463578	19340	153974	1055	7347	5743
53	Washington	4866692	1276227	1875508	3213897	503227	60243	1089325	2413345	2453347	64646	152798	147369	76548	73437	220995	142348	132551	62077	62938	61299	61454	64374	71604	72705	69748	203411	412063	449378	427351	377062	286404	217834	190450	76217	114058	187771	150939	112052	69658	55153	473924	644119	305502	272175	118107	39337	22344	85161	157317	84161	74442	86048	80685	91071	77400	86734	71524	91285	66451	78396	61831	71118	52884	57135	46102	88846	68092	140031	90290	31584	13108	23812	31183	65410456167	6153512998	1527387	348121	1468311	407197	164847	358628	607510	145242	2032378	1872431	159947	1340441	199684	21330	470923	1171714	700717	1742224	231249	32283	26622	420139	21506	1030798	185646	1745	198877	759	10021	2940
54	West_Virginia	1793477	503028	688727	388726	259127	23753	1121871	861731	931746	17582	44407	44556	22566	22750	75016	53087	54889	26308	27416	27609	28020	28668	30326	26808	24852	66851	121713	141334	141986	128919	101282	90713	85391	35202	56422	87914	69012	54602	33146	24130	168115	221830	130370	109071	42814	11875	4652	73017	95610	48204	39974	40808	35159	36472	28923	30436	24503	27946	21059	22977	17533	19666	14376	14514	11501	21546	14745	25757	13414	4480	1964	4143	20795	17559305659	1115541710	481788	206939	464955	223772	104566	168727	187919	41816	781295	688557	92738	178555	118058	8900	475782	510058	178499	563191	166306	17792	34006	349011	19623	173879	53597	27306	62137	100	2344	560
55	Wisconsin	4891769	1284297	1824252	2464819	747258	195550	1484142	2393116	2498653	63022	148142	149471	76817	74144	226268	149628	137625	66004	67750	65784	66079	69054	77524	76015	72336	211880	399551	425558	390853	335933	259364	219481	202666	83767	126108	196325	164536	131482	86702	71900	441553	596473	302347	285695	133910	43754	20520	67487	187926	90391	80437	87997	82682	91496	79258	87014	73937	86852	69896	77049	64120	71684	54665	55356	45274	82587	61318	113185	65362	21512	9032	17735	29442	59648821806	4529165713	1460718	363534	1408368	415884	161864	309438	628195	184800	2055774	1822118	233656	984673	299468	60496	711137	1215324	606794	1367925	626299	48211	13339	1111733	152823	168615	265600	787	107239	713	10581	4027
56	Wyoming	453588	121198	169309	114004	180461	15919	143204	227065	226523	5863	14676	14336	8094	7883	24690	16581	14899	7272	7001	6794	6992	6758	6904	6241	5307	15528	33889	41573	41042	33140	25402	20139	17674	7063	10802	15309	12475	9053	5823	4385	40953	54855	27110	27465	12712	4135	2079	9807	17051	9387	8341	8642	7811	9444	7338	8150	6598	8096	6568	7049	5191	6410	4743	5093	3824	7539	5286	8885	4643	1507	715	1191	27096	5187351800	337698784	142354	26955	135776	33533	12196	33508	62065	13429	203411	168839	34572	50446	76430	5817	70718	114545	54294	157927	38397	2203	4884	106247	15233	27830	1150	3694	13385	349	673	278
72	Puerto Rico																																																																																																									














